board;x_value_1;x_value_2;x_value_3;x_value_4;x_value_5;x_value_6;x_value_7;x_value_8;x_value_9;o_value_1;o_value_2;o_value_3;o_value_4;o_value_5;o_value_6;o_value_7;o_value_8;o_value_9
[1, -1, 1, 1, -1, 0, -1, 0, 0];0;0;0;0;0;-0.498822703;0;0;-0.522246738;0;0;0;0;0;-1.2;0;0;-1.2
[1, -1, 1, -1, 1, 0, -1, 0, 0];0;0;0;0;0;0.603032057;0;0.491826082;1;0;0;0;0;0;0.458406631;0;0.454286955;0.998132036
[1, -1, 1, -1, -1, 0, 1, 0, 0];0;0;0;0;0;-0.250301278;0;-0.45656502;-1.099999954;0;0;0;0;0;-0.651219831;0;-0.628466578;-1.123309871
[1, -1, -1, 1, 1, 0, -1, 0, 0];0;0;0;0;0;1;0;1.109999989;1;0;0;0;0;0;0.99399069;0;1.174937123;0.997122184
[1, -1, -1, -1, 1, 0, 1, 0, 0];0;0;0;0;0;0.885083284;0;0.44820407;1;0;0;0;0;0;0.4814925;0;0.493259906;0.997575135
[-1, 1, 1, 1, -1, 0, -1, 0, 0];0;0;0;0;0;0.429234897;0;-0.331955063;0.407900855;0;0;0;0;0;-1.2;0;-1.2;1.0E-323
[-1, 1, 1, -1, 1, 0, -1, 0, 0];-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0;-1;0;0
[-1, 1, 1, -1, -1, 0, 1, 0, 0];0;0;0;0;0;0.279519803;0;-1.099999991;-0.154054266;0;0;0;0;0;-0.214137879;0;-1.159582657;-0.161718747
[-1, 1, -1, 1, 1, 0, -1, 0, 0];0;0;0;0;0;1;0;1;1.109999997;0;0;0;0;0;0.997779338;0;0.997442435;1.16595062
[-1, 1, -1, 1, -1, 0, 1, 0, 0];0;0;0;0;0;-0.464470366;0;0.416495007;0.784465691;0;0;0;0;0;-0.664639114;0;-0.04732337;0.566166364
[-1, 1, -1, -1, 1, 0, 1, 0, 0];0;0;0;0;0;0.761950217;0;1;0.816465556;0;0;0;0;0;0.522605908;0;0.999604221;0.486741284
[-1, -1, 1, 1, 1, 0, -1, 0, 0];0;0;0;0;0;1;0;0.655451636;0.67669765;0;0;0;0;0;0.99441858;0;0.532447005;0.492926509
[-1, -1, 1, 1, -1, 0, 1, 0, 0];0;0;0;0;0;-1.099999998;0;-0.315871924;0.407982636;0;0;0;0;0;-1.125336255;0;-0.197519373;-0.190110222
[-1, -1, -1, 1, 1, 0, 1, 0, 0];-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;0;0;0;0;0;0
[1, 1, -1, 1, -1, -1, 0, 0, 0];0;0;0;0;0;0;1;-1.099999991;0.066009269;0;0;0;0;0;0;0.999617698;-1.123768421;-0.112165766
[1, 1, -1, -1, 1, -1, 0, 0, 0];0;0;0;0;0;0;0.678546063;1;1;0;0;0;0;0;0;-0.185161372;0.994782856;0.997429021
[1, 1, -1, -1, -1, 1, 0, 0, 0];0;0;0;0;0;0;0;-0.524984978;-0.528730874;0;0;0;0;0;0;0;-0.643450355;-0.610742278
[1, -1, 1, 1, -1, -1, 0, 0, 0];0;0;0;0;0;0;1;0.736355207;-0.568893562;0;0;0;0;0;0;0.992657494;0.566343995;-0.566859679
[1, -1, 1, -1, 1, -1, 0, 0, 0];0;0;0;0;0;0;1;1.109996953;1;0;0;0;0;0;0;0.999962371;1.012210961;0.999984532
[1, -1, 1, -1, -1, 1, 0, 0, 0];0;0;0;0;0;0;-0.734519096;0.557500053;1;0;0;0;0;0;0;-0.585601525;0.469990907;0.998194296
[1, -1, -1, 1, 1, -1, 0, 0, 0];0;0;0;0;0;0;1;0.609553456;1;0;0;0;0;0;0;0.994735238;-0.057681138;0.994927736
[1, -1, -1, 1, -1, 1, 0, 0, 0];0;0;0;0;0;0;1;-0.564181402;-1.099999997;0;0;0;0;0;0;0.998085214;-0.086327224;-1.14686587
[1, -1, -1, -1, 1, 1, 0, 0, 0];0;0;0;0;0;0;0.646826828;0.358341026;1;0;0;0;0;0;0;0.468231629;0.467266476;0.999191458
[-1, 1, 1, 1, -1, -1, 0, 0, 0];0;0;0;0;0;0;-0.529406223;-0.456270281;0;0;0;0;0;0;0;-0.632152962;-0.589593084;0
[-1, 1, 1, -1, 1, -1, 0, 0, 0];0;0;0;0;0;0;1;1;0.364438828;0;0;0;0;0;0;0.99891814;0.999118457;-0.230424918
[-1, 1, 1, -1, -1, 1, 0, 0, 0];0;0;0;0;0;0;-0.108712331;-1.099999999;1;0;0;0;0;0;0;-0.19214491;-1.13174553;0.998495087
[-1, 1, -1, 1, 1, -1, 0, 0, 0];0;0;0;0;0;0;-0.474470769;1;0.556023024;0;0;0;0;0;0;-1.2;1;3.25E-58
[-1, 1, -1, 1, -1, 1, 0, 0, 0];0;0;0;0;0;0;-0.834438169;-1.099999997;-0.241419591;0;0;0;0;0;0;-0.607930087;-1.158186253;-0.608688884
[-1, 1, -1, -1, 1, 1, 0, 0, 0];0;0;0;0;0;0;0.537143975;1;-0.361770076;0;0;0;0;0;0;0.482315319;0.997908149;-0.65939378
[-1, -1, 1, 1, 1, -1, 0, 0, 0];0;0;0;0;0;0;1;0.76556804;0.614730213;0;0;0;0;0;0;0.981520588;0.551151403;0.461108149
[-1, -1, 1, 1, -1, 1, 0, 0, 0];0;0;0;0;0;0;-1.099999998;-0.264861103;1;0;0;0;0;0;0;-1.106815193;-0.166364662;0.99947851
[-1, -1, 1, -1, 1, 1, 0, 0, 0];0;0;0;0;0;0;1;0.03882062;1;0;0;0;0;0;0;0.999056172;-0.047482301;0.997449912
[0, 0, 1, 1, 1, -1, 1, -1, -1];0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0
[0, 0, 1, 1, 1, -1, -1, 1, -1];1.1;0;0;0;0;0;0;0;0;1.074598364;0;0;0;0;0;0;0;0
[0, 0, 1, 1, 1, -1, -1, -1, 1];0;1.1;0;0;0;0;0;0;0;0;1.07955036;0;0;0;0;0;0;0
[0, 0, 1, 1, -1, 1, 1, -1, -1];-1;-1;0;0;0;0;0;0;0;-1;-0.999990006;0;0;0;0;0;0;0
[0, 0, 1, 1, -1, 1, -1, 1, -1];-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0
[0, 0, 1, 1, -1, 1, -1, -1, 1];0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1
[0, 0, 1, 1, -1, -1, 1, 1, -1];-1;1.1;0;0;0;0;0;0;0;-0.999991202;1.061059711;0;0;0;0;0;0;0
[0, 0, 1, 1, -1, -1, 1, -1, 1];0;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0
[0, 0, 1, 1, -1, -1, -1, 1, 1];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[0, 0, 1, -1, 1, 1, 1, -1, -1];0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0
[0, 0, 1, -1, 1, 1, -1, 1, -1];-1;0;0;0;0;0;0;0;0;-0.999993743;0;0;0;0;0;0;0;0
[0, 0, 1, -1, 1, 1, -1, -1, 1];0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1
[0, 0, 1, -1, 1, -1, 1, 1, -1];0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0
[0, 0, 1, -1, 1, -1, 1, -1, 1];0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0
[0, 0, 1, -1, 1, -1, -1, 1, 1];-1;1.1;0;0;0;0;0;0;0;-0.999997905;1.059471757;0;0;0;0;0;0;0
[0, 0, 1, -1, -1, 1, 1, 1, -1];-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0
[0, 0, 1, -1, -1, 1, 1, -1, 1];0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1
